,Symbol,Name
0,ADANIPORTS.BO,ADANIPORTS.BO
1,SBIN.BO,SBIN.BO
2,RELIANCE.NS,RELIANCE.NS
3,TCS.BO,TCS.BO
4,ASIANPAINT.NS,ASIANPAINT.NS
5,LICI.NS,LICI.NS
6,BAJFINANCE.NS,BAJFINANCE.NS
7,WIPRO.BO,WIPRO.BO
8,AXISBANK.NS,AXISBANK.NS
9,TATAMOTORS.NS,TATAMOTORS.NS
10,BPCL.NS,BPCL.NS
11,COALINDIA.NS,COALINDIA.NS
12,HINDUNILVR.NS,HINDUNILVR.NS
13,HINDPETRO.NS,HINDPETRO.NS
14,DLF.NS,DLF.NS
15,BAJFINANCE.NS,BAJFINANCE.NS
16,HAVELLS.NS,HAVELLS.NS
17,GODFRYPHLP.NS,GODFRYPHLP.NS
18,EICHERMOT.NS,EICHERMOT.NS
19,CIPLA.NS,CIPLA.NS
20,AMBUJACEM.NS,AMBUJACEM.NS
21,BPCL.NS,BPCL.NS
22,MPHASIS.NS,MPHASIS.NS
23,JSWENERGY.NS,JSWENERGY.NS
24,MUTHOOTFIN.NS,MUTHOOTFIN.NS
25,CHENNPETRO.NS,CHENNPETRO.NS
26,BHEL.NS,BHEL.NS
27,HAL.NS,HAL.NS
28,DRREDDY.NS,DRREDDY.NS
29,ULTRACEMCO.NS,ULTRACEMCO.NS
30,KOTAKBANK.NS,KOTAKBANK.NS
31,LT.NS,LT.NS
32,SUNPHARMA.NS,SUNPHARMA.NS
33,MARUTI.NS,MARUTI.NS
34,ADANIGREEN.NS,ADANIGREEN.NS
35,AWL.NS,AWL.NS
36,ITC.NS,ITC.NS
37,ONGC.NS,ONGC.NS
38,BANDHANBNK.NS,BANDHANBNK.NS
39,PAGEIND.NS,PAGEIND.NS
40,MUTHOOTFIN.NS,MUTHOOTFIN.NS
41,BERGEPAINT.NS,BERGEPAINT.NS
42,MARICO.NS,MARICO.NS
43,UPL.NS,UPL.NS
44,SRF.NS,SRF.NS
